edition	letter_no	date	sender	recipient	archive_ref	source_volume	printed_page	cipher_extent	solution_status	sibling_or_key_note	scan_online	queue_row
Briefwisseling van Anthonie Heinsius (Veenendaal ed.)	341	30 Mar 1703	Van Haersolte (Warsaw/Warschau)	Heinsius	Nationaal Archief 3.01.19, inv.nr. 841 (H.A. 841)	Deel 2, GS163	130	"numeric name-code, 2 numbers in running text (""178"", ""198"")"	"unsolved; editor's footnote: ""Niet aangetroffen; de sleutel tot het gebruikte geheimschrift is niet bekend"" (original not encountered/found; the key to the cipher used is not known)"	none found this pass; same broad Heinsius numeric-name-code shape as HU1 (van Dopff, letter 357) but different sender/H.A. number	NOT copy-free (same NA 3.01.19 series; every invnr csHU2 checked in this series is PHYSICAL, scans:[]; invnr 841 not itself checked this pass)	HU9
Briefwisseling van Anthonie Heinsius (Veenendaal ed.)	1231	4 Dec 1705	Sauniere de l'Hermitage (London)	Heinsius	Nationaal Archief 3.01.19, inv.nr. 1034 (H.A. 1034)	Deel 4, GS177	446	"numeric code, several numbers in running French text (""14"", ""33"", more)"	"unsolved; editor's footnote: ""De code is onbekend, een sleutel is niet aanwezig. Voor 14 zou Tories gelezen kunnen worden, de lezing van de andere cijfers blijft een gissing."" (the code is unknown, no key is present; for 14, 'Tories' might tentatively be read; the reading of the other numbers remains a guess)"	same sender (Sauniere de l'Hermitage) as HU2 (letters 166/177/477, H.A. 946, Feb-May 1704) but 19 months later and a DIFFERENT H.A. number (1034, not 946) -- likely the same broader numeric-code correspondence extended across archival years, same shape as HU4's Rumpf/van de Bie circle	NOT copy-free (same NA 3.01.19 series as HU2's candidate key invnr 2317; invnr 1034 not itself checked this pass)	HU10
Besluiten Staten-Generaal, nieuwe reeks (Japikse/Roelevink/Nijenhuis eds.)	(resolution no. 573, sub-item 'd', dated 18 Sept, day itself enciphered)	18 Sept [1624 or 1625, uncertain -- see note]	Magistrate of Breda (unnamed)	Staten-Generaal (H.H.M.)	S.G. 4945 I, orig. (Nationaal Archief 1.01.02, Staten-Generaal resolutions/ingekomen stukken; NOT the 3.01.19 Heinsius series)	Deel 7 (juli 1624-1625, GS 223), source_id='7' (NR = nieuwe reeks; RESOLVES round-1's '7 vs 7OR/7NR' ambiguity -- it is plain '7', new series, not '7OR')	100	"whole letter (""vrijwel geheel in cijferschrift""), not printed in this edition -- resolutions summarize incoming letters, they do not reproduce ciphertext"	"unsolved; editor's footnote (note d to resolution 573): ""A.v. (orig.). De brief is vrijwel geheel in cijferschrift, inclusief de dag in de datum, hetgeen de identificatie onzeker maakt."" (same source as note a, orig. The letter is almost entirely in cipher, including the day in the date, which makes identification uncertain)"	none found this pass; resolves the round-1 harvest's flagged-but-unresolved 'Deel 7 p.100' item	copy status not checked this pass (different NA series/inventory than the Heinsius items; S.G. 4945 I not run through the na_scan_check.py accessor)	HU11
Correspondentie Willem III en Bentinck, eerste gedeelte (KS 24)	182	24 Jan 1695	Charles Henri de Lorraine, prins van Vaudemont	Willem III / Bentinck (Portland)	not resolved this pass (NA collection/invnr not identified for this edition's underlying manuscripts)	Eerste gedeelte, deel 2, KS 24	210	unknown -- not opened this pass	index p.812: asterisked	not opened this pass	unconfirmed	Vaudemont-index (see addendum, not individually nominated)
Correspondentie Willem III en Bentinck, eerste gedeelte (KS 24)	183	12 Mar 1696	Charles Henri de Lorraine, prins van Vaudemont	Willem III / Bentinck (Portland)	not resolved this pass (NA collection/invnr not identified for this edition's underlying manuscripts)	Eerste gedeelte, deel 2, KS 24	211	cipher, onopgelost	index p.812: NOT asterisked	--	unconfirmed	Vaudemont-index (see addendum, not individually nominated)
Correspondentie Willem III en Bentinck, eerste gedeelte (KS 24)	184	12 Mar 1696	Anna Elisabeth de Lorraine, prinses van Vaudemont	Willem III / Bentinck (Portland)	not resolved this pass (NA collection/invnr not identified for this edition's underlying manuscripts)	Eerste gedeelte, deel 2, KS 24	211	unknown -- not opened this pass	index p.812: asterisked	not opened this pass	unconfirmed	Vaudemont-index (see addendum, not individually nominated)
Correspondentie Willem III en Bentinck, eerste gedeelte (KS 24)	185	3 Jun 1697	Van Portland (Bentinck) aan Vaudemont	Willem III / Bentinck (Portland)	not resolved this pass (NA collection/invnr not identified for this edition's underlying manuscripts)	Eerste gedeelte, deel 2, KS 24	212	unknown -- not opened this pass	"index p.812: asterisked (""van Bentinck"")"	not opened this pass	unconfirmed	Vaudemont-index (see addendum, not individually nominated)
Correspondentie Willem III en Bentinck, eerste gedeelte (KS 24)	186	6 Jun 1697	Charles Henri de Lorraine, prins van Vaudemont	Willem III / Bentinck (Portland)	not resolved this pass (NA collection/invnr not identified for this edition's underlying manuscripts)	Eerste gedeelte, deel 2, KS 24	213	cipher, onopgelost	index p.812: not in index at all	--	unconfirmed	Vaudemont-index (see addendum, not individually nominated)
Correspondentie Willem III en Bentinck, eerste gedeelte (KS 24)	187	9 Jun 1697	Charles Henri de Lorraine, prins van Vaudemont	Willem III / Bentinck (Portland)	not resolved this pass (NA collection/invnr not identified for this edition's underlying manuscripts)	Eerste gedeelte, deel 2, KS 24	214	cipher, onopgelost	index p.812: not in index at all	--	unconfirmed	Vaudemont-index (see addendum, not individually nominated)
Correspondentie Willem III en Bentinck, eerste gedeelte (KS 24)	188	11 Jun 1697	Charles Henri de Lorraine, prins van Vaudemont	Willem III / Bentinck (Portland)	not resolved this pass (NA collection/invnr not identified for this edition's underlying manuscripts)	Eerste gedeelte, deel 2, KS 24	214	cipher, onopgelost	index p.812: not in index at all	--	unconfirmed	Vaudemont-index (see addendum, not individually nominated)
Correspondentie Willem III en Bentinck, eerste gedeelte (KS 24)	189	15 Jun 1697	Anna Elisabeth de Lorraine, prinses van Vaudemont	Willem III / Bentinck (Portland)	not resolved this pass (NA collection/invnr not identified for this edition's underlying manuscripts)	Eerste gedeelte, deel 2, KS 24	215	unknown -- not opened this pass	index p.812: DOUBLE-asterisked (**)	not opened this pass	unconfirmed	Vaudemont-index (see addendum, not individually nominated)
Correspondentie Willem III en Bentinck, eerste gedeelte (KS 24)	190	8 Aug 1697	Charles Henri de Lorraine, prins van Vaudemont	Willem III / Bentinck (Portland)	not resolved this pass (NA collection/invnr not identified for this edition's underlying manuscripts)	Eerste gedeelte, deel 2, KS 24	216	unknown -- not opened this pass	index p.812: asterisked	not opened this pass	unconfirmed	Vaudemont-index (see addendum, not individually nominated)
Correspondentie Willem III en Bentinck, eerste gedeelte (KS 24)	191	12 Aug 1697	Charles Henri de Lorraine, prins van Vaudemont	Willem III / Bentinck (Portland)	not resolved this pass (NA collection/invnr not identified for this edition's underlying manuscripts)	Eerste gedeelte, deel 2, KS 24	217	unknown -- not opened this pass	index p.812: asterisked	not opened this pass	unconfirmed	Vaudemont-index (see addendum, not individually nominated)
