identifier	line	n_lines	numerals	distinct	repeat_rate	prose_words	context
konunggustafiia01gustgoog	26157	1	6	6	0.00	11	Braunschweig,  Christian,  hertig  af,  354,  602. / Bremen,  biskopsdömet,  326,  341,  400,  408,  448,  456. / 
konunggustafiia01gustgoog	26219	1	5	5	0.00	9	 / 425,  444,  447,  448,  475—48:?,  486,  493—495. / Deltagande    i    Tyska    kriget,  2ö3,  V85— 290,  309,  3i0,  370—373,  417,  419,
konunggustafiia01gustgoog	26238	1	10	10	0.00	13	 / England,  114,  136,  323,  371,  445,  446,  453,  509,  589,  619. / Enno,  Grefve  af  Ostfrisland,  426,  ,44 3.
konunggustafiia01gustgoog	26281	1	7	7	0.00	2	 / GusUf  I,  73,  75,  86,  94,  163.  166.  195. / 
konunggustafiia01gustgoog	26295	1	6	6	0.00	14	 / Hansestadema,  148,  162,  333,  341,  409,  425—431,  414. / Håra,  Rasmus,  497.
konunggustafiia01gustgoog	26322	1	10	10	0.00	10	Jesper  Matason  (Krus),  Fältmarskalk,  635. / Jesnitema,  80,  84.  87,  90,  146,  150,  152,  161,  231,  452. / Johan  m.  75—79,  168,  196.
konunggustafiia01gustgoog	26399	1	8	8	0.00	9	 / Lubeck,  404,  406,  408,  413,  426,  440,  441,  451. / 
konunggustafiia01gustgoog	26407	1	9	9	0.00	7	Margalis  redoute  vid  Riga,  254. / Maria    Eleonora,   Drottning,    334,   338,   371,    387,    394,    473,    486,  546,  550, / 
konunggustafiia01gustgoog	26434	1	9	9	0.00	5	 / Nederiand,    förhandlingar    med,    117,    136,   143,  262,  306,  323,  359,  366,  369, / 
konunggustafiia01gustgoog	26493	1	6	6	0.00	6	 / Qvamtallcn,  215,  219,  280,  281,  303,  311. / 
handlingarrrand04scangoog	11958	1	7	7	0.00	14	 / 80,  36,  1 4,  43»  44.      23,  81,  9^44*78,39,70, / 
handlingarrrand03scangoog	226	2	17	16	0.06	18	Adeln,  svenska,  8:  15;  9:  100;  dess  privilegier,  1:  116, / 130;  7:  67;  25:  296;  klassindelning,  7:  276;  jurisdiclion, / 22:  295;  lullfrihet,  26:  264,  294;  29:  347;  30:  31,  34  ff.; / ruslljensl,  se  RusUjenst;  —
handlingarrrand03scangoog	258	1	5	5	0.00	10	 / ler,  3:  238,  239;  37:  349. / Adlerstedt,  Lars  Jacob,   hofjunkarc  (sedermera  assessor,
handlingarrrand03scangoog	284	1	8	8	0.00	24	Adolf  Fredrik,  koniing  i  Sverige,  handlingar  till  dess  rege- / ring,  4:  319;  3:  251,  272,  296;  8:  295;  gifterraålsfdrsiag, / D:  295,  3t0;  hans  egen  beraitelse  om  en  resa  i  Finland
