line	tomo	inv_no	shelfmark	date	place	sender	recipient	class	index_wording	key_route
2868	A	180	A-2, f.141.	Sin fecha	Carta de ... (imposible de descifrar a causa de la humedad) a Jaime Il de Aragón, en que le da			P	Carta de ... (imposible de descifrar a causa de la humedad) a Jaime Il de Aragón, en que le da	none known
9395	A	645	A-7, f.172	1475.07.23	Roma			P	Original, en cifra toda ella.	none known
9405	A	646	A-7, f.173.	1475.07.23	Roma			P	Antonio Moranda. El resto de la carta está en cifra.	none known
9481	A	651	A-7, f.180.	1476.01.01	Olite (Navarra)			P	Original. Parte en cifra. Otra parte resulta casi ilegible, a causa de la humedad. El sitio donde	none known
9810	A	675	A-7, f.219 y 220.	1477.11.07	Nápoles	Luis Despuig		P	cifra.	none known -- 1478, Catholic Monarchs era, pre-dates Kolosova's corpus
9898	A	681	A-7, f.236.	1478.12.03	Nápoles	Luis Despuig	los Reyes Católicos	D	Carta del maestre de Montesa, Luis Despuig, a los Reyes Católicos, Fernando e Isabel, en cifra.	none known -- 1478, Catholic Monarchs era, pre-dates Kolosova's corpus
9908	A	682	A-7, f.237.	1478.07.10	Barcelona			U	No existe el texto descifrado de esta carta.	none known
10068	A	693	A-7, f.247.	1478.12.15	Nápoles	Luis Despuig		P	la cifra para su correspondencia con los Reyes Católicos con mosén Ariño.	none known -- 1478, Catholic Monarchs era, pre-dates Kolosova's corpus
10259	A	706	A-8, f.20 y 21.	1500.05.29	Nápoles			P	Original, con algunos párrafos en cifra.	none known
10458	A	714	A-8, f.32.	Sin fecha	Carta del secretario Juan Coloma a Fernando el Católico, en la que trataba de las negociaciones			P	Copia manuscrita sacada de la original en cifra.	none known
10532	A	719	A-8, f.40 y 41.				los Reyes Católicos	P	Original. El final de la carta se halla escrito en cifra.	none known
10754	A	733	A-8, f.79.					P	Original, escrita en cifra la mayor parte de ella.	none known
10970	A	748	A-8, f.114.	Sin fecha	Carta del arzobispo de Toledo, don Alonso Carrillo, a (una persona que no nombra), dándole			P	Original, con algunas palabras en cifra.	none known
11031	A	752	A-8, f.118.	Sin fecha	Escrito anónimo, dirigido a Fernando el Católico, sobre la situación política del principado de			P	Original, con el sello de armas del remitente, que aparece boroso e imposible de descifrar.	none known
11602	A	794	A-8, f.199 y 200.	Sin fecha	Carta de ... (no tiene firma) a Fernando el Católico, que empieza: Recibí la carta de V.M. de los xiiij			P	Original, en su mayor parte en cifra.	none known
11613	A	795	A-8, f.201 y 202.	Sin fecha	Carta de Gonzalo Fernández de Córdoba, el Gran Capitán a los Reyes Católicos Fernando e Isabel,		los Reyes Católicos	P	Original, en su mayor parte en cifra.	none known
11625	A	796	A-8, f.203 a 208.	Sin fecha	Carta de ... a los Reyes Católicos Fernando e Isabel, comunicándoles la entrada de Gonzalo		los Reyes Católicos	P	Manuscrito de la época, en gran parte en cifra, algo fracturado y manchado, que impide leer	none known
12168	A	831	A-9, f.35.	Sin fecha	Carta de N... a N..., tratando del peligro que existía de que el rey de Francia, Carlos VIIl, hiciera			P	Minuta manuscrita, de letra de finales del siglo XV, y preparada para enviarla transcrita en cifra a	none known
12825	A	879	A-9, f.108, 109 y 107.	Sin fecha	Carta de la reina de Nápoles (no expresa nombre) a la reina Isabel la Católica, indescifrable por su			P	Carta de la reina de Nápoles (no expresa nombre) a la reina Isabel la Católica, indescifrable por su	none known
12970	A	890	A-9, f.126 y 127.				los Reyes Católicos	U	Original, cuyo texto descifrado no existe a continuación.	none known
13824	A	949	A-9, f.230 a 237.	Sin fecha	Cuatro cartas cifradas, que carecen de firma, de lugar y de fecha, dirigidas a los Reyes Católicos,		los Reyes Católicos	P	Cuatro cartas cifradas, que carecen de firma, de lugar y de fecha, dirigidas a los Reyes Católicos,	none known
13875	A	952	A-10, f.3.	1472.08.24	Tarragona			P	solicita; y sigue la carta en cifra.	none known
13965	A	958	A-10, f.9.	1478.04.00	Madrid			P	Carta de Fernando el Católico al rey Juan |!, su padre, en cifra.	none known
14007	A	961	A-10, f.12.	1483.12.27	Carta de Fadrique ll, rey de Nápoles, a Fernando el Católico, ofreciéndosele con todos sus			P	súbditos. El resto de la carta en cifra.	none known
