catalogue	reference	title_or_desc	date	held_by_or_source	verdict
TNA Discovery	Pw Jd 2982	In cipher	16 November 1812	University of Nottingham Manuscripts and Special Collections	not-record-level
TNA Discovery	Pw Jd 4256	Letter in cipher	9 August 1813	University of Nottingham Manuscripts and Special Collections	not-record-level
TNA Discovery	Pw Jd 4243	Letter in cipher	5-10 July 1813	University of Nottingham Manuscripts and Special Collections	not-record-level
TNA Discovery	Pw Jd 4251	In cipher from Vienna	11 May 1813	University of Nottingham Manuscripts and Special Collections	not-record-level
TNA Discovery	28048/P83/9	Accounts 1792. some in cipher	1792	Bristol Archives	not-record-level
TNA Discovery	PRO 30/11/69/16-17	Duplicate of item 7, all in cipher.	1781 Mar 7	The National Archives, Kew	excluded
TNA Discovery	Pw Jd 4240	Postscript to Pw Jd 4239 in cipher	13 June 1813	University of Nottingham Manuscripts and Special Collections	not-record-level
TNA Discovery	SP 84/157/97	Folio 219: Nicholas to Boswell - in cipher.	1643 Nov 2	The National Archives, Kew	excluded
TNA Discovery	SP 84/157/96	Folio 217: Charles I to Boswell - in cipher.	1643 Nov 2	The National Archives, Kew	excluded
TNA Discovery	N13677160	Ingham, Benjamin, (1712-1772), Evangelist, diary in Cipher	1734	Manchester University: Methodist Archives and Research Centre	not-record-level
TNA Discovery	PRO 30/11/69/18	Letter in cipher, not identified; perhaps original of letter at 19.	[1781]	The National Archives, Kew	excluded
TNA Discovery	D/D St. M3/26	List of Deputy Lieutenants and Justices of the Peace, in cipher	1693	Archives: Wigan & Leigh	not-record-level
TNA Discovery	PRO 30/11/129	Letters from Capt John Little. Originals and copies, parts in cipher (deciphered).	1792 Jan-1792 Feb	The National Archives, Kew	excluded
TNA Discovery	PRO 30/11/99/32	New York. Clinton to [ ]. Sends intelligence in cipher; wants all advice boats; French...	1781 Apr 29; 1781 Apr 30	The National Archives, Kew	excluded
TNA Discovery	PRO 30/11/6/25-26	Camden. Rawdon to Cornwallis. In cipher and undeciphered. Noted as 'in May 2.'	1781 May 2	The National Archives, Kew	excluded
TNA Discovery	MC 49/12, 503 x 1	Holme field book 1650, with ownership note etc. of Thomas Overman 1679 in cipher.	1650, 1679	Norfolk Record Office	not-record-level
TNA Discovery	SP 106/10	Italian and other ciphers and papers written in cipher not deciphered. Includes a number of...	17th century	The National Archives, Kew	excluded
TNA Discovery	PRO 30/11/6/23	Charles Town. Balfour to Cornwallis(?). Mostly in cipher and not deciphered, but apparently reports British...	1781 Apr 26	The National Archives, Kew	excluded
TNA Discovery	MS 3145/326/5 a-c	Papers in cypher.	c1820	Birmingham: Archives, Heritage and Photography Service	not-record-level
TNA Discovery	IOR/L/PS/9/76/212	Letter in Cypher.	c 1802	British Library: Asian and African Studies	not-record-level
TNA Discovery	IOR/L/PS/9/76/217	Letter in cypher.	c 1802	British Library: Asian and African Studies	not-record-level
TNA Discovery	U1590/O118	Report from Marechal d'Huxelles to M. Iberville, in cypher	1717	Kent History and Library Centre	not-record-level
TNA Discovery	DDKE/9/9/41	Beatrix Hulton (name written in cypher) - sending letter by aunt Answorth, thanks for letter...	12 Jun. 1630	Lancashire Archives	not-record-level
TNA Discovery	MS. Carte 38, fol(s). 279	A Statement, in Cypher, concerning the setting to farm of the Revenue of Ireland	1675	Oxford University: Bodleian Library, Special Collections	not-record-level
TNA Discovery	L 29/559/34	Harris, St. Petersburg to Grantham (private) (In cypher decoded) Finds great satisfaction in Grantham's private...	1/12 November 1782	Bedfordshire Archives	not-record-level
TNA Discovery	PRO 30/11/202	Explanation of Sir Archibald Campbell's instrument for writing in Cypher (in which the Secretary of...	[1788]	The National Archives, Kew	excluded
TNA Discovery	L 29/562/9	Eden, Copenhagen to Grantham, St. James's (private) (In cypher decoded) Thanks Grantham for mentioning himself...	28 September 1782	Bedfordshire Archives	not-record-level
TNA Discovery	L 29/559/40	"Harris, St. Petersburg to Grantham (private) (In cypher, decoded) Wishes that ""the glory of making..."	13/24 December 1782	Bedfordshire Archives	not-record-level
TNA Discovery	L 29/559/37/1& 2	Harris, St. Petersburg to Grantham (private) (In cypher, not decoded, note to Grantham from Harris...	15/26 November 1782	Bedfordshire Archives	not-record-level
TNA Discovery	D239 M/O 1529-1574	Letters from Sir William Throckmorton in Paris to Edward Coleman many written in cypher with...	1674-75	Derbyshire Record Office	not-record-level
TNA Discovery	MS. Carte 216, fol(s). 357v	Specimen of Correspondence in cypher, or in short-hand amongst the Non-conformists of Ireland	1683	Oxford University: Bodleian Library, Special Collections	not-record-level
TNA Discovery	MS. Carte 47, fol(s). 11	Note, in cypher, on the relations between the King & the Chancellor. With a decypher by Ormond.	[1662]	Oxford University: Bodleian Library, Special Collections	not-record-level
TNA Discovery	Mss Eur D623	Despatches, correspondence and minutes, some in cypher, of Richard Colley Wellesley, 2nd Earl of Mornington...	1798-1810	British Library: Asian and African Studies	not-record-level
TNA Discovery	MS. Carte 34, fol(s). 110	Advices of political incidents, in the Province of Leinster. Sent to the Duke of Ormond, in cypher.	[circa 25 March] 1665	Oxford University: Bodleian Library, Special Collections	not-record-level
TNA Discovery	MS. Carte 214, fol(s). 432-434	Letters, chiefly in cypher, relating to plots against Dublin Castle and the person of the Lord Lieutenant. Sent to Sir George Lane.	March 1663	Oxford University: Bodleian Library, Special Collections	not-record-level
TNA Discovery	MS. Carte 34, fol(s). 131	Intelligence [concerning political incidents in various parts of Ireland; and also in parts beyond sea. Sent, in Cypher, to Lord Deputy, the Earl of Ossory.]	[30 March?] 1665	Oxford University: Bodleian Library, Special Collections	not-record-level
TNA Discovery	D-X775/1	Memorandum book [Ryder's British Merlin for 1676] of a justice of the peace for Buckinghamshire, unidentified but probably Bernard Turney the elder of Cublington (d.1681). Some of the entries are in c	1676	Buckinghamshire Archives	not-record-level
TNA Discovery	U269/C188/4	Letter from J. Johnson from Copenhagen	1787, 1789	Kent History and Library Centre	not-record-level
TNA Discovery	1700m-0/C/P/674	Devon Record Office	1804	Devon Archives and Local Studies Service (South West Heritage Trust)	not-record-level
TNA Discovery	MS. Carte 75, fol(s). 493	Arlington to Sandwich : written from [London]	[October?] 1666	Oxford University: Bodleian Library, Special Collections	not-record-level
TNA Discovery	MS. Carte 34, fol(s). 674	"Advices of Incidents in Ireland. Addressed anonymously, to the Duke of Ormond; and endorsed by him with the intials ""P.A."""	18[?] April 1663	Oxford University: Bodleian Library, Special Collections	not-record-level
TNA Discovery	1700m-0/C/P/661	Devon Record Office	1803	Devon Archives and Local Studies Service (South West Heritage Trust)	not-record-level
TNA Discovery	MS. Carte 214, fol(s). 448	P. Alden to Ormond	4 March 1663	Oxford University: Bodleian Library, Special Collections	not-record-level
TNA Discovery	YHL/PO/JO/10/1/183/30	Letter from Sir Edward Nicholas to the King	22 May 1645	The National Archives, Kew	not-record-level
TNA Discovery	MS. Carte 30, fol(s). 563	Earl of Cork to [Lane]	12 April 1660	Oxford University: Bodleian Library, Special Collections	not-record-level
TNA Discovery	PRO 30/11/86/29-30	Halifax. To Phillips. Message 'I march tomorrow to join you.' A note says 'written in...	1781 May 14	The National Archives, Kew	excluded
TNA Discovery	MS. Carte 214, fol(s). 441	T. Barrington to Lane	20 April 1663	Oxford University: Bodleian Library, Special Collections	not-record-level
TNA Discovery	MS. Carte 214, fol(s). 9	Sir John Stephen to Ormond : written from [London]	30 March 1660	Oxford University: Bodleian Library, Special Collections	not-record-level
TNA Discovery	L 29/564/6	Elliot, Berlin to Grantham, St. James's (private) Has informed Count Finchenstein of the appointment of...	27 September 1782	Bedfordshire Archives	not-record-level
TNA Discovery	MS. Carte 31, fol(s). 119	Lord Montgomery to Ormond : written from Dublin	20 February 1661	Oxford University: Bodleian Library, Special Collections	not-record-level
TNA Discovery	MS. Carte 53, fol(s). 166-168	Minutes of Proceedings at the Council Board in England, concerning the Revenue-Contract in Ireland - its arrears and liabilities - of the Earls of Ranelagh, & his partners; as reported to the Lord Lie	7 June 1679	Oxford University: Bodleian Library, Special Collections	not-record-level
TNA Discovery	MS. Carte 75, fol(s). 498-499	Arlington to Sandwich : written from Whitehall	27 February 1667	Oxford University: Bodleian Library, Special Collections	not-record-level
TNA Discovery	PRO 30/11/74/80-81	York. Reports 30 to 40 enemy ships of war, mostly large, within the Capes. A...	1781 Sept 1	The National Archives, Kew	excluded
TNA Discovery	MS. Carte 213, fol(s). 569	Jermyn to Ormond : written from Lorio	5 February 1660	Oxford University: Bodleian Library, Special Collections	not-record-level
TNA Discovery	BUL 1/37/1-105 562 x 6	Letters to HLB from Lord William Hervey, First secretary at British Embassy in Paris	1844-1848	Norfolk Record Office	not-record-level
TNA Discovery	MS. Carte 141, fol(s). 179-180	Orrery to Boyle : written from Charleville	3 November 1667	Oxford University: Bodleian Library, Special Collections	not-record-level
TNA Discovery	1 WORSLEY 25	Circulars and instructions from the Court at St James's to the Minister Resident at Venice....	1773-8	Lincolnshire Archives	not-record-level
TNA Discovery	MS. Carte 214, fol(s). 576-577	Carlingford to Ormond : written from London	3 November 1663	Oxford University: Bodleian Library, Special Collections	not-record-level
TNA Discovery	L 29/560/19	Keith, Vienna to Grantham (Private) Refers to Grantham's letter of 28th January. Applauds choice of...	19 February 1783	Bedfordshire Archives	not-record-level
TNA Discovery	MS. Carte 214, fol(s). 32, and v.	Colonel Walter Slingsby to Ormond : written from [London?]	13/[23] April 1660	Oxford University: Bodleian Library, Special Collections	not-record-level
TNA Discovery	MS. Carte 215, fol(s). 467	John Walsh to Ormond : written from Dublin	29 May 1668	Oxford University: Bodleian Library, Special Collections	not-record-level
TNA Discovery	MS. Carte 232, fol(s). 55	Longford to Arran : written from Windsor	16 September 1679	Oxford University: Bodleian Library, Special Collections	not-record-level
TNA Discovery	MS. Carte 214, fol(s). 449	P. Alden to Ormond : written from [Dublin?]	7 March 1663	Oxford University: Bodleian Library, Special Collections	not-record-level
TNA Discovery	IOR/L/PS/9/76/134	Letters from John Malcolm to Harford Jones	10 Aug 1800-15 Aug 1800	British Library: Asian and African Studies	not-record-level
TNA Discovery	MS. Carte 47, fol(s). 90	Minute or Note of an Audience of the King, by Lord Chancellor Clarendon, on the 19th March	1664	Oxford University: Bodleian Library, Special Collections	not-record-level
TNA Discovery	MS. Carte 213, fol(s). 632	Advices of recent proceedings in the English Parliament : written from London	2 March 1660	Oxford University: Bodleian Library, Special Collections	not-record-level
TNA Discovery	MS. Carte 38, fol(s). 238	Lane to Ormond : written from London	23 January 1675	Oxford University: Bodleian Library, Special Collections	not-record-level
TNA Discovery	MS. Carte 214, fol(s). 40	Francis Slingsby to Ormond : written from [London]	13 April 1660	Oxford University: Bodleian Library, Special Collections	not-record-level
TNA Discovery	MS. Carte 220, fol(s). 142-143	Ossory to Ormond : written from Dublin	9 June 1664	Oxford University: Bodleian Library, Special Collections	not-record-level
TNA Discovery	MS. Carte 213, fol(s). 660	Luttrell to Ormond	16 March 1660	Oxford University: Bodleian Library, Special Collections	not-record-level
TNA Discovery	MS. Carte 141, fol(s). 186	Orrery to Arlington : written from [Dublin?]	29 November 1673	Oxford University: Bodleian Library, Special Collections	not-record-level
TNA Discovery	MS. Carte 232, fol(s). 49	Longford to Arran : written from London	12 July 1679	Oxford University: Bodleian Library, Special Collections	not-record-level
TNA Discovery	MS. Carte 31, fol(s). 264	Aungier to Ormond : written from Dublin	25 July 1661	Oxford University: Bodleian Library, Special Collections	not-record-level
TNA Discovery	MS. Carte 30, fol(s). 532	Bennet to Ormond : written from Madrid	2 January 1660	Oxford University: Bodleian Library, Special Collections	not-record-level
TNA Discovery	EK-U471/C31	Correspondence (with some draft replies), including(from India)	1801-1804	Kent History and Library Centre	not-record-level
TNA Discovery	IOR/L/PS/9/76/49	Letter from Harford Jones to Henry Dundas	17 Dec 1798	British Library: Asian and African Studies	not-record-level
TNA Discovery	MS. Carte 31, fol(s). 242	Aungier to Ormond : written from Dublin	13 July 1661	Oxford University: Bodleian Library, Special Collections	not-record-level
TNA Discovery	MS. Carte 75, fol(s). 557	Arlington to Sandwich : written from Whitehall	12 September 1667	Oxford University: Bodleian Library, Special Collections	not-record-level
TNA Discovery	MS. Carte 232, fol(s). 77-78	Longford to Arran : written from London	28 August 1680	Oxford University: Bodleian Library, Special Collections	not-record-level
TNA Discovery	MS. Carte 214, fol(s). 471-475	Daniel O'Neill to Ormond : written from [London]	18 April 1663	Oxford University: Bodleian Library, Special Collections	not-record-level
TNA Discovery	PRO 30/11/6/54	Wilmington. J. H. Craig to Cornwallis. Sends return of provisions. Most cipher and undeciphered.	1781 May 5	The National Archives, Kew	excluded
TNA Discovery	27468ab5-cdc1-47aa-b335-e9f12e77b925	LORD DEPUTY MOUNTJOY to SIR GEORGE CAREW.	10 Dec 1602	Lambeth Palace Library	not-record-level
TNA Discovery	ed3c75e5-7b34-40b0-a0dd-6bb990d9db89	SIR G. CAREW to LORD DEPUTY MOUNTJOY.	9 Oct 1602	Lambeth Palace Library	not-record-level
TNA Discovery	a4bf11aa-c005-45e9-bd83-2b7dd0c0dd67	SIR G. CAREW to LORD DEPUTY MOUNTJOY.	25 Oct 1602	Lambeth Palace Library	not-record-level
