host	query	id_or_ref	title	date	note	status
sias-archivi.cultura.gov.it (as-milano)	RicFrmRicSemplice=cifra	Chiave=465773	Militare parte antica (fondo, Atti di governo)	1440-1802	fondo history text: "aggregazione di documenti estrapolati dagli archivi di diverse magistrature... particolarmente dalla Cancelleria di guerra e cifra" -- names a historical "Chancery of War and Cipher" office as a source of this fondo, but the fondo itself is 460 buste of regulations/personnel/garrison papers, described at fondo level only, no item-level letters or images	structural_lead_not_candidate
sias-archivi.cultura.gov.it (as-milano)	RicFrmRicSemplice=cifra / cifrata / "in cifra"	Chiave=465888	Registri delle cancellerie dello Stato e di magistrature diverse (fondo)	1538-1796	same match as above (contains the "Cancelleria di guerra e cifra" phrase); fondo is 44+ administrative series (privilegi, dispacci, missive, tesoreria...), none named for cipher content specifically; description-level only, no document browsing	structural_lead_not_candidate
sias-archivi.cultura.gov.it (as-milano)	RicFrmRicSemplice=cifra (produttori)	Chiave=73732	Governatore, Milano (soggetto produttore, 1499-1796)	1499-1796	the office "Governatore" is linked as record-creator to the Militare/cancellerie fondi above via the same "cifra" text match; not a distinct cipher office, no new lead	noise
sias-archivi.cultura.gov.it (as-milano)	RicFrmRicSemplice=cifrato / cifrati / deciferato / zifra	--	--	--	0 complessi for every term	clean_negative
sias-archivi.cultura.gov.it (as-firenze)	RicFrmRicSemplice=cifra / "in cifra"	Chiave=500491	Lunigiana (Mediceo del Principato > Governi di città e luoghi soggetti > Lunigiana), 1587-1737	1587-1737	description text: "...dietro il pagamento della consistente cifra di 500.000 scudi..." -- cifra = sum/amount, not cryptography (same foliation-noise pattern as Spanish "se cifra en" in QUEUE.md's Europeana section)	noise
sias-archivi.cultura.gov.it (as-firenze)	RicFrmRicSemplice=cifra	Chiave=593270	Attività pubblicistica (Donini Ambrogio), 1948-1985	1948-1985	20th-c. personal-papers fondo, "cifra" = figure/statistic in a publicist's writings, wrong period and sense	noise
sias-archivi.cultura.gov.it (as-firenze)	RicFrmRicSemplice=cifra	Chiave=499618	Estimo, sec.XIV metà-1530	1350-1530	"cifra" = numeral in a tax-assessment register	noise
sias-archivi.cultura.gov.it (as-firenze)	RicFrmRicSemplice=cifra	Chiave=551155	Libri di amministrazione del ramo di Matteo di Simone Strozzi (Carte Strozziane IV), 1479-1487	1479-1487	"cifra" = numeral/figure in household account books	noise
sias-archivi.cultura.gov.it (as-firenze)	RicFrmRicSemplice=cifra	Chiave=565356	Maggiordomo Maggiore (Della Gherardesca), 1831-1850	1831-1850	"cifra" = figure/monogram sense, 19th-c. household administration	noise
sias-archivi.cultura.gov.it (as-firenze)	RicFrmRicSemplice=cifra	Chiave=592803	Ordine di Santo Stefano (Della Gherardesca), 1797-1847	1797-1847	"cifra" = figure/insignia sense in a chivalric-order fondo	noise
sias-archivi.cultura.gov.it (as-firenze)	RicFrmRicSemplice=cifra	Chiave=494969	Portate dei contadini (Catasto 1427)	1427-	"cifra" = numeral in a tax-return series	noise
sias-archivi.cultura.gov.it (as-firenze)	RicFrmRicSemplice=cifrato / cifrata	--	--	--	0 complessi for both terms	clean_negative
archiviodistatofirenze.cultura.gov.it/archividigitali/cerca/	testo_libero=cifra	--	--	--	0 results	control_failed_see_below
archiviodistatofirenze.cultura.gov.it/archividigitali/cerca/	testo_libero=Giovio (CONTROL: name of the sender on the homepage's own "In Evidenza" showcased item, "Lettera di Paolo Giovio a Cosimo I, 1538 gennaio 11", Mediceo del Principato 332 c.85)	--	--	--	0 results via plain curl GET AND via a real browser form submission (screenshot fi_search_giovio_b.png) -- the free-text search over this 6610-filza digitised viewer does not surface even a name the site itself features; query form does not index page/document content at the scale this brief needs	query_form_unverified
mia.medici.org (formerly bia.medici.org)	(reachability only)	--	--	--	redirects to /Mia/user/LoginUser.do; no public search without an account -- brief requires "a public search or API only, no login"	blocked_login_required
bia.medici.org	(reachability only)	--	--	--	TLS certificate hostname mismatch (curl error 60); one attempt, superseded by the mia.medici.org finding above	blocked_tls
siusa.archivi.beniculturali.it	(reachability only)	--	--	--	egress proxy connect_rejected (502) on first attempt and the one permitted retry	blocked_egress
antenati.cultura.gov.it	(reachability only)	--	--	--	HTTP 403 on first attempt and the one permitted retry	blocked_403
catalogo.beniculturali.it	(reachability only)	--	--	--	200, reachable, but this is the ICCD general heritage-object catalogue (art/archaeological/architectural/numismatic property), not an archival-document catalogue -- wrong domain for correspondence, not swept further	out_of_scope
san.beniculturali.it	(reachability only)	--	--	--	200 after following one redirect to /web/san/home; a Liferay portal front page, its underlying archival-description search endpoint was not identified within this budget	reached_not_swept
web (secondary literature)	WebSearch + WebFetch	Cipher Mysteries, 28 Jun 2011, "Milanese enciphered letters, call for help..."	Albrico Maletta (Sforza ambassador, Naples) to Duke Francesco Sforza, 26 Jul 1455, "in cifre"	1455-07-26	ASMi, Potenze Estere, Napoli 1455; not digitised, no image online; already in the territory Bourdeau's project tracks directly (see next row) -- excluded per rule 1	excluded_already_tracked
github.com/dbourdeau/cyphersolver (shallow clone, grepped)	grep -i maletta	oldest/CANDIDATES.md row B6	Louis XI to Alberico Maletta, Saumur, 11 Apr 1465, Latin, one cipher passage never printed	1465-04-11	"Original at ASMi, Potenze Estere, Francia; not online. Milan keys in DECODE. Needs a photograph from Milan." -- confirms Bourdeau's own project already works ASMi Potenze Estere/Sforza-era diplomatic cipher material directly, including the same not-yet-digitised gap	confirms_competitor_coverage
