row_id	target	year	lang	kind	holder	shelfmark	catalogue_note	image_url_tested	copy_free	total_score	status
DA1	East Frisian princely house cipher key + ivory cipher table + Gersdorff Vienna dispatch cipher	1727-1744	de	recovery	Niedersaechsisches Landesarchiv Abt. Aurich	Rep. 241, E 16 / E 17	Chiffre-Schluessel zur geheimen Korrespondenz des ostfriesischen Fuerstenhauses / Original-Chiffre-Tabelle in Elfenbein; Chiffre eingesandt von Freiherr von Gersdorff mit 399. Relation 1737	none	n	37	kept
DA2	Baden-Baden/Baden-Durlach diplomatic cipher-key rubric + Fesch correspondence + Palatinate envoy ciphers	1676-1761	de	recovery	Generallandesarchiv Karlsruhe	48 Nr.65,67,72; 46 Nr.5970; 77 Nr.1131	Chiffren fuer die Korrespondenz mit mehreren namentlich genannten Gesandten; Chiffre fuer Fesch; Verschiedene Chiffres zu den Korrespondenzen mit den Gesandten ab 1746	none	n	36	kept
DA3	Loewenstein-Wertheim-Rochefort cipher key + Ludwig Moritz numeric cipher key	1681-1740	de	recovery	Staatsarchiv Wertheim	R-NL 2 Nr.71; F-Rep. 90N Nr.106	Schluessel zum Lesen einer Geheimschrift; Zahlenschluessel zu einer Geheimschrift	none	n	35	kept
DA4	Krauske 1893 decipherment of Manteuffel to Flemming cipher reports (letters uncatalogued this pass)	1712-1713 (1893)	de	recovery/contribution	Saechsisches Hauptstaatsarchiv Dresden	10026 Geheimes Kabinett Loc.00694/10 (08/09)	Chiffren in Schreiben Manteuffels an Flemming (angefertigt von Dr. Krauske 1893); Chiffre-Ausloesungen zu den Berichten 1712 und 1713	digitalisat anchor seen, no resolved image URL	n	34	kept
DA5	Imperial command letters Ferdinand III / Leopold Wilhelm to Melchior von Hatzfeldt, partly ciphered, 9 volumes	1634-1657	de	cryptanalysis	Hohenlohe-Zentralarchiv Neuenstein	Ni 10 Bd 240-249	Befehlsschreiben ... an Graf Melchior von Hatzfeldt (z.T. in Geheimschrift)	none	n	33	kept
DA6	Geheimschrift des Senats; Chiffren der Korrespondenz (Bremen Senate cipher/correspondence series)	1560-1750 (series to 1890)	de	recovery	Staatsarchiv Bremen	2-Dd, 8. Bd.1 (series 2-Dd 8.)	Geheimschrift des Senats; Chiffren der Korrespondenz	none	n	32	kept
DA7	Two single ciphered letters of Duke Heinrich the Younger of Brunswick-Lueneburg	1519, 1522	de	cryptanalysis	Niedersaechsisches Landesarchiv Abt. Bueckeburg	L 1 Nr.548, Nr.562	Schreiben des Herzogs Heinrich ... betr. Militaerisches (Geheimschrift); Politische Absichten des Herzogs Heinrich d.M. (Geheimschrift)	none	n	30	kept
DA8	Claudia de Medici to Markgraf Wilhelm von Baden-Baden, two ciphered letters, Thirty Years War (Neuenburg)	1633-01-24, 1633-03-23	de	cryptanalysis	Generallandesarchiv Karlsruhe	81 Nr.442 (=46 Nr.2916); 81 Nr.813	Chiffriertes Schreiben der Erzherzogin Claudia de Medici an Markgraf Wilhelm von Baden-Baden ueber die Eroberung der Stadt Neuenburg; zum Teil in Geheimschrift	none	n	29	kept
DA9	Maria Walburga Eusebia von Waldburg to her brother Christoph Karl, partly ciphered	1653-1654	de	cryptanalysis	Staatsarchiv Sigmaringen	Dep. 30/1 T 3 Nr.702	Korrespondenz der Truchsessin ... z.T. in Geheimschrift	none	n	29	kept
DA10	Reports of Lic. Melchior and of Pape/Koehler to Graf Wolfgang Julius von Hohenlohe, partly ciphered	1679-1680, 1689	de	cryptanalysis	Hohenlohe-Zentralarchiv Neuenstein	Sf 35 Bue 161, Bue 165	Berichte (teilweise chiffriert) des Lic. Melchior; Berichte (teilweise chiffriert) der ... Diener Pape und Koehler	none	n	29	kept
DA11	Lukas Osiander diary, partly in symbol-based cipher	1627-1630	de	cryptanalysis	Hauptstaatsarchiv Stuttgart	J 7 Bue 66 (Sammlung Pregizer)	auf Symbolen beruhenden Geheimschrift abgefasst	none	n	28	kept
-	Reichshofratsgutachten Baden ./. von der Leyen, ciphered letter WITH decipherment in same file	1779	de	edition	Generallandesarchiv Karlsruhe	111 Nr.304	Chiffriertes Schreiben mit Dechiffrierung	none	n	-	dropped_edition
-	Habsburg administration correspondence 1534, cipher passages WITH period transcription noted, digitised	1534	de	edition	Hauptstaatsarchiv Stuttgart	A 2 Bue 9, 10, 11	in/z.T. in Geheimschrift, mit Transkription	bild_zoom link present, not tested	unconfirmed	-	dropped_edition
-	Reichenauer Moenchsunruhen, letters partly ciphered WITH decipherment attempts (unclear success)	1654	de	ambiguous	Generallandesarchiv Karlsruhe	96 Nr.1179	z.T. chiffriert mit Entzifferungsversuchen	none	n	-	dropped_ambiguous
