uri	date	title	shelfmark	holder	status	row_id	note
http://kalliope-verbund.info/CH-002121-2-991170525322305501	1554-02-12	Brief an Ambrosius Blaurerus / von W[olfgangus] Musc[ulus] (Vadianische Briefsammlung Bd.7)	VadSlg Ms 36:295	St. Gallen KB Vadiana / Stadtarchiv St. Gallen	excluded		digitised (han.stadtarchiv.ch/inhalt/VadSlg_Ms_36_295.pdf) AND carries its own printed-edition PDF (.../inhalt/VII_295.pdf) -- part of the Arbenz/Wartmann Vadianische Briefsammlung, 7 vols, Mitteilungen zur vaterlaendischen Geschichte 24-30a, 1884-1913 (WebSearch confirmed); abstract 'Eine Geheimschrift' is the archive's own regest topic-phrase for an already-published letter, not evidence of surviving unpublished ciphertext; image untested this pass (han.stadtarchiv.ch connection reset twice, one retry per good-citizen rule, then stopped)
http://kalliope-verbund.info/CH-002121-2-991170525490805501	16th c.	Vadianische Briefsammlung, Bd. 8 (Blaurer family correspondence)		St. Gallen KB Vadiana	excluded		same Arbenz/Wartmann printed edition as above (published 1884-1913); abstracts read (family news, verse, travel), 'Geheimschrift' a routine catalogue-note keyword, none a fresh unpublished cipher
http://kalliope-verbund.info/CH-002121-2-991170512783205501	16th c.	Vadianische Briefsammlung, Bd. 7 (Blaurer family correspondence)		St. Gallen KB Vadiana	excluded		same Arbenz/Wartmann printed edition as above (published 1884-1913); abstracts read (family news, verse, travel), 'Geheimschrift' a routine catalogue-note keyword, none a fresh unpublished cipher
http://kalliope-verbund.info/CH-002121-2-991170525605105501	16th c.	Vadianische Briefsammlung, Bd. 8 (Blaurer family correspondence)		St. Gallen KB Vadiana	excluded		same Arbenz/Wartmann printed edition as above (published 1884-1913); abstracts read (family news, verse, travel), 'Geheimschrift' a routine catalogue-note keyword, none a fresh unpublished cipher
http://kalliope-verbund.info/CH-002121-2-991170516268705501	16th c.	Vadianische Briefsammlung, Bd. 8 (Blaurer family correspondence)		St. Gallen KB Vadiana	excluded		same Arbenz/Wartmann printed edition as above (published 1884-1913); abstracts read (family news, verse, travel), 'Geheimschrift' a routine catalogue-note keyword, none a fresh unpublished cipher
http://kalliope-verbund.info/CH-002121-2-991170517547805501	16th c.	Vadianische Briefsammlung, Bd. 8 (Blaurer family correspondence)		St. Gallen KB Vadiana	excluded		same Arbenz/Wartmann printed edition as above (published 1884-1913); abstracts read (family news, verse, travel), 'Geheimschrift' a routine catalogue-note keyword, none a fresh unpublished cipher
http://kalliope-verbund.info/CH-002121-2-991170517367705501	16th c.	Vadianische Briefsammlung, Bd. 8 (Blaurer family correspondence)		St. Gallen KB Vadiana	excluded		same Arbenz/Wartmann printed edition as above (published 1884-1913); abstracts read (family news, verse, travel), 'Geheimschrift' a routine catalogue-note keyword, none a fresh unpublished cipher
http://kalliope-verbund.info/DE-611-HS-3252191	1726-04-13	Brief von August Hermann Francke an Karl Leopold v. Mecklenburg-Schwerin		Franckesche Stiftungen Halle	excluded		abstract explicit: 'Ablehnung der Verwendung einer Geheimschrift in der Korrespondenz mit dem Herzog' -- Francke REFUSING to use a cipher, not a ciphertext
http://kalliope-verbund.info/DE-611-BF-85387	1741/1743	Nachlass Thomas Eberhard von Ilten -- Kriegskommissariat-Sammlung, Teil 29	Ms XXIII 1245:29	Gottfried Wilhelm Leibniz Bibliothek Hannover	excluded		digitised (digitale-sammlungen.gwlb.de/resolve?id=DE-611-BF-85387); already a tracked item in dbourdeau/cyphersolver CATALOGUE.md #5.0 ('Letters to Jobst Hermann von Ilten... catalogued as not deciphered... Images not confirmed online' -- note: Bourdeau's own note is now stale, Kalliope DOES carry a Digitalisat link for this shelfmark family, worth flagging to them or re-checking, not pursued further here since Bourdeau already tracks the target per LESSONS.md 'a catalogue a daily-active project also reads is not a lane'); 'chiffriert' hit not located in the visible MODS fields of the child records sampled (full-text index apparently matches fields not exposed in the SRU/MODS output -- a caveat for future Kalliope sweeps)
http://kalliope-verbund.info/DE-611-HS-4135390	1697-1743	Nachlass Thomas Eberhard von Ilten -- letter within 03.04		Gottfried Wilhelm Leibniz Bibliothek Hannover	excluded		'dechiffriert' search hit; individual MODS record has no visible cipher-related text (name/date/place/extent only) -- same already-tracked Ilten Nachlass as above, not pursued
http://kalliope-verbund.info/DE-611-HS-4136135	1697-1743	Nachlass Thomas Eberhard von Ilten -- letter within 03.07		Gottfried Wilhelm Leibniz Bibliothek Hannover	excluded		'dechiffriert' search hit; individual MODS record has no visible cipher-related text (name/date/place/extent only) -- same already-tracked Ilten Nachlass as above, not pursued
http://kalliope-verbund.info/DE-611-HS-4136176	1697-1743	Nachlass Thomas Eberhard von Ilten -- letter within 03.07		Gottfried Wilhelm Leibniz Bibliothek Hannover	excluded		'dechiffriert' search hit; individual MODS record has no visible cipher-related text (name/date/place/extent only) -- same already-tracked Ilten Nachlass as above, not pursued
http://kalliope-verbund.info/DE-611-HS-4136197	1697-1743	Nachlass Thomas Eberhard von Ilten -- letter within 03.07		Gottfried Wilhelm Leibniz Bibliothek Hannover	excluded		'dechiffriert' search hit; individual MODS record has no visible cipher-related text (name/date/place/extent only) -- same already-tracked Ilten Nachlass as above, not pursued
http://kalliope-verbund.info/DE-611-HS-4136816	1697-1743	Nachlass Thomas Eberhard von Ilten -- letter within 01.29		Gottfried Wilhelm Leibniz Bibliothek Hannover	excluded		'dechiffriert' search hit; individual MODS record has no visible cipher-related text (name/date/place/extent only) -- same already-tracked Ilten Nachlass as above, not pursued
http://kalliope-verbund.info/DE-611-HS-4136823	1697-1743	Nachlass Thomas Eberhard von Ilten -- letter within 01.29		Gottfried Wilhelm Leibniz Bibliothek Hannover	excluded		'dechiffriert' search hit; individual MODS record has no visible cipher-related text (name/date/place/extent only) -- same already-tracked Ilten Nachlass as above, not pursued
http://kalliope-verbund.info/DE-611-HS-918605	1752-06-19	Brief von Koenig Ludwig XV. an Touche de la M.		Kunstsammlungen der Veste Coburg	excluded		abstract 'Betr. vier chiffrierte Briefe' (covering letter ABOUT four ciphered letters, itself plaintext); no <location> field at all, not digitised
http://kalliope-verbund.info/DE-611-HS-4027869	c.1547 (copy, 19th c.)	Nachlass Leopold von Ranke -- transcribed copy of an unidentified ciphered letter, Drakenburg/Bremen siege era		(Ranke Nachlass, precise holder not confirmed this pass)	excluded		Ranke's own 19th-c. transcription copy with a decrypted P.S. already inserted for him -- the cipher was already solved by whoever supplied Ranke's copy; not a fresh target
http://kalliope-verbund.info/DE-MUS-853418-D0059341	undated	'Geheimschrift in fuenf Figuren' (Dokument)		Stadtgeschichtliches Museum Leipzig, Sammlung Autographe	unresolved		digitised (stadtmuseum.leipzig.de/document/objekt/D0059341); no sender/recipient/date in the MODS abstract -- looks like a single specimen/key item, not a two-party letter; not individually opened this pass, worth a follow-up look
http://kalliope-verbund.info/DE-MUS-853418-Z0055053	undated	'Manuskript betr. Geheimschriften' (Manuskript)		Stadtgeschichtliches Museum Leipzig, Sammlung Autographe	unresolved		digitised (stadtmuseum.leipzig.de/document/objekt/Z0055053); no sender/recipient/date -- looks like a treatise/specimen, not correspondence; not individually opened this pass
http://kalliope-verbund.info/DE-MUS-853418-Z0095108	1864	Brief, Verfasser nennt dem Adressaten den Namen eines 'chiffrierten Kritikers'		Stadtgeschichtliches Museum Leipzig, Sammlung Autographe	excluded		'chiffriert' = a pseudonymous newspaper critic's signature, not a cryptographic cipher; too late (1864) for project period focus regardless
http://kalliope-verbund.info/DE-611-HS-2724831	undated	Freimaurer-Akten (Bonner Illuminatenorden), 'Charakter des Bruder Glaukus'		Universitaets- und Landesbibliothek Bonn	excluded		Masonic/Illuminati lodge papers, a member's character description, not a cipher letter (false-positive on 'Geheimschrift'/secrecy vocabulary generally)
http://kalliope-verbund.info/DE-611-HS-3376631	undated	Nachlass Carl Friedrich Gauss -- mathematical manuscript on residues		SUB Goettingen	excluded		mathematics, not cryptography-as-correspondence
http://kalliope-verbund.info/DE-611-HS-3626506	1778-07-31	Brief von W. A. Mozart an Leopold und Maria Anna Walburga Ignatia Mozart		Staatsbibliothek zu Berlin, Musikabteilung	excluded		family letter, no cipher content found; 'Geheimschrift' hit not located in visible fields
http://kalliope-verbund.info/DE-611-HS-3576380	1753	Silbermann-Archiv -- trade specifications (organ-building costs/materials) in a private business shorthand		SLUB Dresden	excluded		commercial trade-secrecy shorthand, not a diplomatic/personal cipher letter; single-party notebook, not correspondence
http://kalliope-verbund.info/DE-611-HS-3063531	1596-1700	Alchemistic recipe Sammelhandschrift, one folio group in Geheimschrift		SLUB Dresden	excluded		alchemical recipe book, not correspondence
http://kalliope-verbund.info/DE-611-HS-3930360	1897-10-17	Dehmel-Archiv, Postkarte an Richard Dehmel		SUB Hamburg	excluded		too late (1897), literary postcard not diplomatic/period correspondence
http://kalliope-verbund.info/DE-611-HS-1005376	undated (c.1829)	Printed title 'Des Systemes de Chiffres...' bound in Humboldt/Darmstaedter collection		Staatsbibliothek zu Berlin	excluded		printed title about number-systems (mathematics), 'chiffres' = numerals, not a cipher letter
http://kalliope-verbund.info/DE-611-HS-3066128	1699-1750	Buchhandschriften Sammelhandschrift on Saxon-Polish history, incl. printed 'Table de chiffre'		SLUB Dresden	excluded		printed cipher table bound into an unrelated political-tract miscellany, not correspondence
http://kalliope-verbund.info/DE-611-HS-302824	1808-04-23	Brief von E.T.A. Hoffmann an Julius von Soden		Staatsbibliothek Bamberg	excluded		'Chiffre' = a pseudonymous signature ('H-v.') for a newspaper article, not a cryptographic cipher
http://kalliope-verbund.info/DE-5-w3269DB2	1903-1912	Nachlass Lamprecht, lecture notes on modern painting		ULB Bonn	excluded		art-history lecture notes, false positive on 'in'+'Ziffern' as separate words
http://kalliope-verbund.info/DE-5-w3487	1897	Nachlass Lamprecht, essay 'Die Tuecke des Objects'		ULB Bonn	excluded		same false positive as above
http://kalliope-verbund.info/DE-611-HS-1006832	1855	Zeitschrift fuer Stenographie issue with article 'Ueber Zahl und Ziffer', in Humboldt/Darmstaedter collection		Staatsbibliothek zu Berlin	excluded		'Ziffer' = numeral in a stenography-journal article, not a cipher
