book_nr	name	slug	chapters	raw_utf8_bytes	sha1	letters_after_fold	file
1	Бытие	bytie	50	296144	a6ba3d5af1fcc2539fb9604aab1f6f1fde122f4a	129162	01_bytie.txt.gz
2	Исход	ishod	40	250889	c5568ca0837a29f3e968febdbe01b95224c5ce4b	110502	02_ishod.txt.gz
3	Левит	levit	27	183116	3ed4fbc890b5dbd4ab0b9d59cc3ccd4930fa53d7	81047	03_levit.txt.gz
4	Числа	chisla	36	250798	cb4551f0aa298d058f1de1494843abd47f010f3c	111092	04_chisla.txt.gz
5	Второзаконие	vtorozakonie	34	223529	2cdc563a7c01e5804aad0c3ffe7144184762ca7c	98076	05_vtorozakonie.txt.gz
6	Иисуса Навина	iisusa_navina	24	151366	57fcea54b3eacb7eb5b3e5177a030560e0ae2158	66672	06_iisusa_navina.txt.gz
7	Судей	sudei	21	143097	6349ca146e5a0eca277bcd6af5f3dc35fd355da8	62988	07_sudei.txt.gz
8	Руфь	ruf	4	19667	13ff44b0416c4e0b4c79148b65ffa9335a4e7dfd	8595	08_ruf.txt.gz
9	1-я Царств	ya_carstv	31	195933	32d91a6766e685ccf608aac92974b2e41c315e7e	85941	09_ya_carstv.txt.gz
10	2-я Царств	ya_carstv	24	161317	2f8dd585e56bd0f13e1e81c4f2c31aaf0c1a490f	70761	10_ya_carstv.txt.gz
11	3-я Царств	ya_carstv	22	194122	34ff563ea250a78a3b8266ba2882160ae259cfe9	85605	11_ya_carstv.txt.gz
12	4-я Царств	ya_carstv	25	177423	dfff225e7ddbb6646681d12eb97dcefdd86d1ffa	78075	12_ya_carstv.txt.gz
13	1-я Паралипоменон	ya_paralipomenon	29	159334	186baf440cbafa0620bb05e0816d33462a943167	69989	13_ya_paralipomenon.txt.gz
14	2-я Паралипоменон	ya_paralipomenon	36	209203	fcd9f03cccfa4b5751c4e4f765267dc5dd9be88e	92527	14_ya_paralipomenon.txt.gz
79	Молитва Манассии	molitva_manassii	1	3248	d51f72b81255ed7aaaf65b9a3aecdced8a5f49c2	1449	79_molitva_manassii.txt.gz
15	Ездры	ezdry	10	58827	d7955c5aa6f703abbe68539ff2183225f0c7987c	26057	15_ezdry.txt.gz
16	Неемии	neemii	13	82427	ffee15384f5585da5159eb4bfbe2fec5046f2d81	36397	16_neemii.txt.gz
