value	plaintext	grade	source_line
27	difficult	C	raw/madison_THE_972_tomokiyo.txt:4
32	Empero.	C	raw/madison_THE_972_tomokiyo.txt:5
61	Minister	C	raw/madison_THE_972_tomokiyo.txt:6
103	these	C	raw/madison_THE_972_tomokiyo.txt:7
166	either	C	raw/madison_THE_972_tomokiyo.txt:8
187	Florida	C	raw/madison_THE_972_tomokiyo.txt:9
249	other	C	raw/madison_THE_972_tomokiyo.txt:10
255	part	C	raw/madison_THE_972_tomokiyo.txt:11
289	ration	C	raw/madison_THE_972_tomokiyo.txt:12
290	reason	C	raw/madison_THE_972_tomokiyo.txt:13
312	set	C	raw/madison_THE_972_tomokiyo.txt:14
326	Spain	C	raw/madison_THE_972_tomokiyo.txt:15
330	station	C	raw/madison_THE_972_tomokiyo.txt:16
351	tin	C	raw/madison_THE_972_tomokiyo.txt:17
370	vest	C	raw/madison_THE_972_tomokiyo.txt:18
405	would	C	raw/madison_THE_972_tomokiyo.txt:19
417	y	C	raw/madison_THE_972_tomokiyo.txt:20
465	count	C	raw/madison_THE_972_tomokiyo.txt:21
471	con	C	raw/madison_THE_972_tomokiyo.txt:22
511	mean	C	raw/madison_THE_972_tomokiyo.txt:23
541	offer	C	raw/madison_THE_972_tomokiyo.txt:24
607	ty	C	raw/madison_THE_972_tomokiyo.txt:25
608	va	C	raw/madison_THE_972_tomokiyo.txt:26
615	vin	C	raw/madison_THE_972_tomokiyo.txt:27
619	un	C	raw/madison_THE_972_tomokiyo.txt:28
631	wise	C	raw/madison_THE_972_tomokiyo.txt:29
659	port	C	raw/madison_THE_972_tomokiyo.txt:30
664	pro	C	raw/madison_THE_972_tomokiyo.txt:31
692	ary	C	raw/madison_THE_972_tomokiyo.txt:32
702	ance	C	raw/madison_THE_972_tomokiyo.txt:33
734	ca	C	raw/madison_THE_972_tomokiyo.txt:34
772	e	C	raw/madison_THE_972_tomokiyo.txt:35
798	est	C	raw/madison_THE_972_tomokiyo.txt:36
803	ac	C	raw/madison_THE_972_tomokiyo.txt:37
817	al	C	raw/madison_THE_972_tomokiyo.txt:38
821	n	C	raw/madison_THE_972_tomokiyo.txt:39
856	suf	C	raw/madison_THE_972_tomokiyo.txt:40
860	ly	C	raw/madison_THE_972_tomokiyo.txt:41
868	rd	C	raw/madison_THE_972_tomokiyo.txt:42
872	rec	C	raw/madison_THE_972_tomokiyo.txt:43
916	had	C	raw/madison_THE_972_tomokiyo.txt:44
927	him	C	raw/madison_THE_972_tomokiyo.txt:45
945	on	C	raw/madison_THE_972_tomokiyo.txt:46
946	on	C	raw/madison_THE_972_tomokiyo.txt:47
953	ou	C	raw/madison_THE_972_tomokiyo.txt:48
971	that	C	raw/madison_THE_972_tomokiyo.txt:49
972	the	C	raw/madison_THE_972_tomokiyo.txt:50
973	them	C	raw/madison_THE_972_tomokiyo.txt:51
974	tho	C	raw/madison_THE_972_tomokiyo.txt:52
976	sal	C	raw/madison_THE_972_tomokiyo.txt:53
983	so	C	raw/madison_THE_972_tomokiyo.txt:54
985	sta	C	raw/madison_THE_972_tomokiyo.txt:55
988	sub	C	raw/madison_THE_972_tomokiyo.txt:56
1001	d	C	raw/madison_THE_972_tomokiyo.txt:57
1006	dec	C	raw/madison_THE_972_tomokiyo.txt:58
1013	di	C	raw/madison_THE_972_tomokiyo.txt:59
1064	for	C	raw/madison_THE_972_tomokiyo.txt:60
1080	fin	C	raw/madison_THE_972_tomokiyo.txt:61
1083	je	C	raw/madison_THE_972_tomokiyo.txt:62
1089	im	C	raw/madison_THE_972_tomokiyo.txt:63
1090	in	C	raw/madison_THE_972_tomokiyo.txt:64
1116	s	C	raw/madison_THE_972_tomokiyo.txt:65
1116	s;	C	raw/madison_THE_972_tomokiyo.txt:66
1123	self	C	raw/madison_THE_972_tomokiyo.txt:67
1125	sent	C	raw/madison_THE_972_tomokiyo.txt:68
1127	she	C	raw/madison_THE_972_tomokiyo.txt:69
1138	soon	C	raw/madison_THE_972_tomokiyo.txt:70
1161	ti	C	raw/madison_THE_972_tomokiyo.txt:71
1165	to	C	raw/madison_THE_972_tomokiyo.txt:72
1201	a	C	raw/madison_THE_972_tomokiyo.txt:73
1217	and	C	raw/madison_THE_972_tomokiyo.txt:74
1225	as	C	raw/madison_THE_972_tomokiyo.txt:75
1230	c	C	raw/madison_THE_972_tomokiyo.txt:76
1238	ces	C	raw/madison_THE_972_tomokiyo.txt:77
1268	ed	C	raw/madison_THE_972_tomokiyo.txt:78
1284	ent	C	raw/madison_THE_972_tomokiyo.txt:79
1302	ide	C	raw/madison_THE_972_tomokiyo.txt:80
1319	li	C	raw/madison_THE_972_tomokiyo.txt:81
1354	of	C	raw/madison_THE_972_tomokiyo.txt:82
1361	or	C	raw/madison_THE_972_tomokiyo.txt:83
1429	by	C	raw/madison_THE_972_tomokiyo.txt:84
1431	g	C	raw/madison_THE_972_tomokiyo.txt:85
1459	he	C	raw/madison_THE_972_tomokiyo.txt:86
1467	his	C	raw/madison_THE_972_tomokiyo.txt:87
1472	hope	C	raw/madison_THE_972_tomokiyo.txt:88
1478	ing	C	raw/madison_THE_972_tomokiyo.txt:89
1484	it	C	raw/madison_THE_972_tomokiyo.txt:90
1490	la	C	raw/madison_THE_972_tomokiyo.txt:91
