# key no.60 sign atlas from interlined leaves (LANE R5 G, 24 Sept 2026). leaf 264 = fr.3985 canvas 264 (Instruction 31 Aug 1593,
# region pct:27,18,65,66 native); 298 = fr.3986 canvas 298 (f.152, Henri IV to Nevers, Oct 1593, region pct:13,9,73,22 native).
# x,y = centre in that region image (approximate, from reduced views). value = the contemporary interlined gloss, aligned by the model (grade S).
sign_id	leaf	x	y	tag	form	interlined_value	key60	agreement	context
A01	264	138	1542	λ	lambda, long left leg	la	λ=la	yes	La [seconde]
A02	264	220	1542	X+	x-cross with extra bars	se	X+=se	yes	[se]conde
A03	264	293	1542	∝	alpha / fish loop	co	∝=co	yes	se[co]nde
A04	264	359	1542	T	T	n	T=n	yes	seco[n]de
A05	264	408	1542	g	g	de	g=de	yes	secon[de]
A06	264	522	1542	X++	same barred x as X+	si	X++=si	yes	si; same form as X+ in this hand
A07	264	603	1542	v	v, open	u	v'=u (v=li)	partial	v[n]; tick of v' not seen
A08	264	652	1542	ß	beta	n	ß=n	yes	v[n]
A09	264	758	1542	ll4	ll with small 4	p	-	no	[p]rince; no key sign; maybe cursive v+ or 10
A10	264	897	1542	3	3	ri	3=ri	yes	p[ri]nce
A11	264	938	1542	⊥	inverted T	n	⊥=n	yes	pri[n]ce
A12	264	987	1542	18	18	ce	18=ce	yes	prin[ce]
A13	264	1060	1542	φ	f-like with loop (reads as f)	ca	φ=ca (f=e)	form	[ca]tholique; this hand's φ looks like f
A14	264	1117	1542	e	e	to	e=to	yes	ca[to]lique
A15	264	1207	1542	σ	sigma / o with tail	li	-	no	cato[li]que; no key sign
A16	264	1272	1542	pi	pi with i	que	pi=que	yes	catoli[que]
A17	264	1338	1542	E	epsilon	re	E=re	yes	[re]connu
A18	264	1387	1542	∝	alpha	co	∝=co	yes	re[co]nnu
A19	264	1582	1543	⊥	inverted T	n	⊥=n	yes	reco[n]nu
A20	264	1722	1543	T	T	n	T=n	yes	recon[n]u
A21	264	1764	1543	v	v	u	v'=u (v=li)	partial	reconn[u]
A22	264	269	1676	f	f	e	f=e	yes	[e]rreur
A23	264	383	1676	ꝺo	cursive d + o	r	ꝺo=r	yes	e[r]reur
A24	264	440	1676	E	epsilon	re	E=re	yes	er[re]ur
A25	264	497	1676	++	written as ll with a bar (Bourdeau's ⱶⱶ)	u	++=u	form	erre[u]r
A26	264	775	1676	8o	8 joined to o (∞-like)	raison	8o=raison	yes	raison
A27	264	856	1676	12	12	du	12=du	yes	[du]quel
A28	264	905	1676	pi	pi with i	que	pi=que	yes	du[que]l
A29	264	979	1676	cH	c with vertical stroke (¢)	l	cH=l	yes	duque[l]
A30	264	150	1774	10	10	p	10=p	yes	[p]ere
A31	264	191	1774	ꝑ	p with stroke through descender	e	ꝑ=so (M)	no	p[e]re
A32	264	244	1774	E	epsilon	re	E=re	yes	pe[re]
A33	264	285	1774	n	n / r-shaped	et	n=et	yes	et
A34	264	342	1774	+o	written like 'to'	le	+o=le (to=i)	form	le; this hand's +o reads as to
A35	264	424	1774	y	y	s	y=s|ve	yes	[s]aint
A36	264	473	1774	x	x	a	x=a|d	yes	s[a]int
A37	264	571	1774	T	T	n	T=n	yes	sai[n]t
A38	264	758	1901	g	g	de	g=de	yes	[de] la couronne
A39	264	824	1901	λ	lambda	la	λ=la	yes	de [la]
A40	264	889	1901	∠	< angle	c	∠=c	yes	[c]ouronne
A41	264	946	1901	X	x-cross	o	X=o	yes	c[o]uronne
A42	264	1011	1901	++	ll with bar	u	++=u	form	co[u]ronne
A43	264	1085	1901	ꝺo	d + o	r	ꝺo=r	yes	cou[r]onne
A44	264	1158	1901	v	v	o	-	no	cour[o]nne; v as o, not in key
A45	264	1232	1901	T	T	n	T=n	yes	couro[n]ne
